Latitude,Longitude,NIMI1
24.8319135800913,60.234913065305,Lotankatu
24.8352447513828,60.2374323051333,Kanttiinitie
24.832160314560298,60.24108686974979,Uusmäki
24.829540373048395,60.2402864647543,Muskettitie
24.8361085735744,60.237328134757995,Kanttiinitie
24.8290577754948,60.24047797030371,Muskettitie
24.8253461604393,60.2393342383948,Krenatöörintie
24.8259063806016,60.2393576825549,Krenatöörintie
24.8314043536022,60.2333365132935,Heikunantie
24.8302846848455,60.232598528012,Heikunantie
24.833058294246502,60.2409017234974,Uusmäki
24.835120653744802,60.2396501090213,Hilapellontie
24.834626689243496,60.2393929164515,Hilapellontie
24.8335116100879,60.2409796610834,Uusmäki
24.8308918256208,60.245178798132294,Alokastie
24.8314658824122,60.2450315926635,Alokastie
24.8325433466868,60.2497820101925,Lehtovuori
24.832385400504602,60.2499625158546,Lehtovuori
24.831459652410498,60.2454983727376,Rykmentinmäki
24.822961891787,60.237841103779296,Lintumetsä
24.822024316317396,60.2371647512836,Lintumetsä
24.821351405911603,60.2384075741475,Lintumetsä
24.819048340324503,60.2430533030824,Helmipöllönmäki
24.819394399321798,60.241004690382006,Helmipöllönkatu
24.819041806768897,60.2406209069481,Helmipöllönkatu
24.8137049501775,60.2387149484807,Kultarinta
24.813379837128,60.238707964542996,Kultarinta
24.8136328771186,60.2409054796475,Sinirinta
24.8133607825553,60.24085329184529,Sinirinta
24.808901022522804,60.2415626912929,Jääskeläntie
24.8084043605731,60.2411887333791,Jääskeläntie
24.8087979093953,60.244704837765894,Paikkalinnuntie
24.808336863888197,60.2443127111406,Paikkalinnuntie
24.808711867874305,60.24707496321079,Muuttolinnunmäki
24.808200385439502,60.24683573117311,Muuttolinnunmäki
24.8090153609623,60.2366791745251,Lintuparvenaukio
24.8090506992172,60.2395781341778,Lintuvaaran koulu
24.8083764409951,60.2393219431183,Lintuvaaran koulu
24.825992310033197,60.212636164022996,Everstinkatu
24.8372003889828,60.21501633794471,Vermon ravirata
24.826396058843397,60.212193835011206,Everstinkatu
24.8259329987673,60.2109939566115,Majurinkulma
24.8243782305585,60.210851034564,Majurinkulma
24.826294568355497,60.2103095427997,Majurinkulma
24.8304937130159,60.2116027787059,Tarvaspääntie
24.8305917132764,60.211198252873004,Tarvaspääntie
24.8329011679702,60.2169193361014,Vermontie
24.8339900603429,60.2164637069746,Vermontie
24.8353027066628,60.2141666146792,Kaarlo Sarkian katu
24.8357175321734,60.214164003221796,Kaarlo Sarkian katu
24.833116222898802,60.2118825441647,Tarvonsalmenkatu
24.8335483715607,60.21185290311,Tarvonsalmenkatu
24.8192237697485,60.212462697404,Yhdyskunnanmäki
24.818870001441002,60.21274313104529,Yhdyskunnanmäki
24.8166802201662,60.2139055284184,Säteri
24.8261932235043,60.214887845702705,Majurinpolku
24.826621128622197,60.214687713162,Majurinpolku
24.824999413891202,60.2169148316255,Perkkaankuja
24.826729400318197,60.2161231706467,Kirjurinkuja
24.8205479695778,60.2170950147423,Komentajankatu
24.825098841153302,60.2172822221986,Perkkaankuja
24.818001216556397,60.2184212031175,Hevosenkenkä
24.8425191695158,60.2212388403462,Mäkkylä
24.8426796855298,60.2211660147379,Mäkkylä
24.835759292653602,60.2179335904085,Vermo
24.834686616968302,60.2176082346782,Vermo
24.8390556116148,60.21490588809421,Vermon Ravirata
24.8351571723846,60.209150036633396,Derby Business Park
24.816213510300397,60.2052826364117,Kurkijoentie
24.812588121902,60.2081771488157,Leppäsolmu
24.810820091339195,60.204498901829396,Laajalahden koulu
24.809387357398702,60.2049025846943,Laajalahden koulu
24.8045427642705,60.204429400451204,Raivaaja-aukio
24.8061439737181,60.2042760694814,Raivaaja-aukio
24.7998756502088,60.204574300890705,Jääskentie
24.8001024055087,60.204258780532996,Jääskentie
24.797540492462602,60.2034663805137,Koivistontie
24.798032318143395,60.2036698671152,Koivistontie
